дата,модель,случай,найдено,ожидалось,ложных,секунд
2026-08-23_223438,deepseek/deepseek-chat,01-tokens,2,2,0,10
2026-08-23_223438,deepseek/deepseek-chat,02-orders,3,3,0,9
2026-08-23_223438,deepseek/deepseek-chat,03-storage,3,3,1,18
2026-08-23_223438,deepseek/deepseek-chat,04-concurrency,2,2,0,11
2026-08-23_223438,deepseek/deepseek-chat,05-volume,3,3,0,15
2026-08-23_223438,deepseek/deepseek-chat,06-split-c,1,1,0,13
2026-08-23_223554,openrouter/google/gemini-3.7-flash,01-tokens,2,2,0,13
2026-08-23_223554,openrouter/google/gemini-3.7-flash,02-orders,3,3,0,13
2026-08-23_223554,openrouter/google/gemini-3.7-flash,03-storage,3,3,1,20
2026-08-23_223554,openrouter/google/gemini-3.7-flash,04-concurrency,2,2,0,13
2026-08-23_223554,openrouter/google/gemini-3.7-flash,05-volume,1,3,0,11
2026-08-23_223554,openrouter/google/gemini-3.7-flash,06-split-c,0,1,0,14
2026-08-23_223718,openrouter/z-ai/glm-5.2,01-tokens,1,2,0,13
2026-08-23_223718,openrouter/z-ai/glm-5.2,02-orders,3,3,0,16
2026-08-23_223718,openrouter/z-ai/glm-5.2,03-storage,3,3,0,37
2026-08-23_223718,openrouter/z-ai/glm-5.2,04-concurrency,2,2,0,15
2026-08-23_223718,openrouter/z-ai/glm-5.2,05-volume,2,3,0,21
2026-08-23_223718,openrouter/z-ai/glm-5.2,06-split-c,1,1,0,28
2026-08-23_223928,openrouter/qwen/qwen3-coder-plus,01-tokens,1,2,0,19
2026-08-23_223928,openrouter/qwen/qwen3-coder-plus,02-orders,1,3,0,17
2026-08-23_223928,openrouter/qwen/qwen3-coder-plus,03-storage,1,3,0,16
2026-08-23_223928,openrouter/qwen/qwen3-coder-plus,04-concurrency,1,2,0,16
2026-08-23_223928,openrouter/qwen/qwen3-coder-plus,05-volume,2,3,0,15
2026-08-23_223928,openrouter/qwen/qwen3-coder-plus,06-split-c,1,1,0,21
2026-08-23_224112,openrouter/moonshotai/kimi-k2.7-code,01-tokens,2,2,1,13
2026-08-23_224112,openrouter/moonshotai/kimi-k2.7-code,02-orders,0,3,0,9
2026-08-23_224112,openrouter/moonshotai/kimi-k2.7-code,03-storage,3,3,0,18
2026-08-23_224112,openrouter/moonshotai/kimi-k2.7-code,04-concurrency,2,2,0,14
2026-08-23_224112,openrouter/moonshotai/kimi-k2.7-code,05-volume,3,3,1,33
2026-08-23_224112,openrouter/moonshotai/kimi-k2.7-code,06-split-c,1,1,0,51
2026-08-24_164839,deepseek/deepseek-chat,01-tokens,2,2,1,8
2026-08-24_164839,deepseek/deepseek-chat,02-orders,3,3,0,8
2026-08-24_164839,deepseek/deepseek-chat,03-storage,3,3,0,8
2026-08-24_164839,deepseek/deepseek-chat,04-concurrency,2,2,0,6
2026-08-24_164839,deepseek/deepseek-chat,05-volume,3,3,0,6
2026-08-24_164839,deepseek/deepseek-chat,06-split-c,1,1,0,8
2026-08-24_164923,openrouter/google/gemini-3.7-flash,01-tokens,2,2,0,15
2026-08-24_164923,openrouter/google/gemini-3.7-flash,02-orders,3,3,0,11
2026-08-24_164923,openrouter/google/gemini-3.7-flash,03-storage,3,3,1,16
2026-08-24_164923,openrouter/google/gemini-3.7-flash,04-concurrency,2,2,0,10
2026-08-24_164923,openrouter/google/gemini-3.7-flash,05-volume,1,3,0,10
2026-08-24_164923,openrouter/google/gemini-3.7-flash,06-split-c,0,1,0,12
2026-08-24_165037,openrouter/moonshotai/kimi-k2.7-code,01-tokens,2,2,0,29
2026-08-24_165037,openrouter/moonshotai/kimi-k2.7-code,02-orders,3,3,0,12
2026-08-24_165037,openrouter/moonshotai/kimi-k2.7-code,03-storage,3,3,0,14
2026-08-24_165037,openrouter/moonshotai/kimi-k2.7-code,04-concurrency,2,2,0,12
2026-08-24_165037,openrouter/moonshotai/kimi-k2.7-code,05-volume,3,3,0,91
2026-08-24_165037,openrouter/moonshotai/kimi-k2.7-code,06-split-c,1,1,0,32
2026-08-24_165347,openrouter/z-ai/glm-5.2,01-tokens,2,2,1,13
2026-08-24_165347,openrouter/z-ai/glm-5.2,02-orders,3,3,0,12
2026-08-24_165347,openrouter/z-ai/glm-5.2,03-storage,3,3,0,14
2026-08-24_165347,openrouter/z-ai/glm-5.2,04-concurrency,2,2,0,22
2026-08-24_165347,openrouter/z-ai/glm-5.2,05-volume,2,3,0,110
2026-08-24_165347,openrouter/z-ai/glm-5.2,06-split-c,0,1,0,8
2026-08-24_165646,deepseek/deepseek-chat,01-tokens,2,2,0,6
2026-08-24_165646,deepseek/deepseek-chat,02-orders,3,3,0,7
2026-08-24_165646,deepseek/deepseek-chat,03-storage,3,3,0,8
2026-08-24_165646,deepseek/deepseek-chat,04-concurrency,2,2,1,8
2026-08-24_165646,deepseek/deepseek-chat,05-volume,2,3,0,7
2026-08-24_165646,deepseek/deepseek-chat,06-split-c,1,1,0,13
2026-08-24_165735,openrouter/google/gemini-3.7-flash,01-tokens,2,2,0,12
2026-08-24_165735,openrouter/google/gemini-3.7-flash,02-orders,3,3,0,12
2026-08-24_165735,openrouter/google/gemini-3.7-flash,03-storage,3,3,1,28
2026-08-24_165735,openrouter/google/gemini-3.7-flash,04-concurrency,2,2,0,12
2026-08-24_165735,openrouter/google/gemini-3.7-flash,05-volume,1,3,0,10
2026-08-24_165735,openrouter/google/gemini-3.7-flash,06-split-c,0,1,0,12
2026-08-24_165901,openrouter/moonshotai/kimi-k2.7-code,01-tokens,2,2,0,21
2026-08-24_165901,openrouter/moonshotai/kimi-k2.7-code,02-orders,2,3,0,12
2026-08-24_165901,openrouter/moonshotai/kimi-k2.7-code,03-storage,3,3,0,16
